2026-09-13T19:04:54.059939	DEBUG	qzlt/main.go:33	Initializing postgtes connection pool
2026-09-13T19:04:54.077105	DEBUG	qzlt/main.go:40	initializing feature	{"feature": "users"}
2026-09-13T19:04:54.077474	WARN	server/server.go:50	starting http server on 	{"addr": ":5050"}
2026-09-13T19:05:15.276052	DEBUG	middleware/common.go:79	>>> incoming http request	{"request_id": "92e9c539-f0f2-4822-b647-f14ad96e1e3b", "url": "/api/v1/users", "method": "POST", "time": "2026-09-13T16:05:15.276048"}
2026-09-13T19:05:15.276256	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "92e9c539-f0f2-4822-b647-f14ad96e1e3b", "url": "/api/v1/users", "method": "POST", "status_code": 404, "latency": "207.25µs"}
2026-09-13T19:05:22.119940	DEBUG	middleware/common.go:79	>>> incoming http request	{"request_id": "464b34f6-22e1-4ce3-b26f-53c3f469c5b2", "url": "/api/v1/register", "method": "POST", "time": "2026-09-13T16:05:22.119938"}
2026-09-13T19:05:22.120017	DEBUG	http/create_user.go:33	invoke create user handler	{"request_id": "464b34f6-22e1-4ce3-b26f-53c3f469c5b2", "url": "/api/v1/register", "method": "POST"}
2026-09-13T19:05:22.121033	WARN	response/handler.go:55	Failed to decode and validate CreateUser request	{"request_id": "464b34f6-22e1-4ce3-b26f-53c3f469c5b2", "url": "/api/v1/register", "method": "POST", "error": "validate json: Key: 'CreateUserRequest.Name' Error:Field validation for 'Name' failed on the 'min' tag :invalid argument"}
2026-09-13T19:05:22.121239	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "464b34f6-22e1-4ce3-b26f-53c3f469c5b2", "url": "/api/v1/register", "method": "POST", "status_code": 400, "latency": "1.300333ms"}
2026-09-13T19:05:30.686282	DEBUG	middleware/common.go:79	>>> incoming http request	{"request_id": "f6c96b3a-623b-4405-8f2c-b4d58900e245", "url": "/api/v1/register", "method": "POST", "time": "2026-09-13T16:05:30.686280"}
2026-09-13T19:05:30.686353	DEBUG	http/create_user.go:33	invoke create user handler	{"request_id": "f6c96b3a-623b-4405-8f2c-b4d58900e245", "url": "/api/v1/register", "method": "POST"}
2026-09-13T19:05:30.818398	ERROR	response/handler.go:55	Failed to create user	{"request_id": "f6c96b3a-623b-4405-8f2c-b4d58900e245", "url": "/api/v1/register", "method": "POST", "error": "create user: scan error: ERROR: duplicate key value violates unique constraint \"users_email_key\" (SQLSTATE 23505)"}
2026-09-13T19:05:30.818535	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "f6c96b3a-623b-4405-8f2c-b4d58900e245", "url": "/api/v1/register", "method": "POST", "status_code": 500, "latency": "132.255875ms"}
2026-09-13T19:05:37.962311	DEBUG	middleware/common.go:79	>>> incoming http request	{"request_id": "3e58421f-89f8-4ea4-8aca-2f88fd159bb5", "url": "/api/v1/register", "method": "POST", "time": "2026-09-13T16:05:37.962310"}
